,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100
SAMPLE_1,149,4,10,1809,119,0,0,177,182,0,1674,335,0,0,0,3000,0,297,2270,163,559,0,19,0,2,0,690,670,0,1,0,0,344,0,0,0,0,0,0,0,822,73,1530,2230,0,6,0,317,743,107,278,0,278,1223,0,3945,0,0,0,8,0,0,0,0,208,120,0,0,0,0,0,217,463,0,0,1716,0,67,1833,0,170,3838,0,4558,0,84,0,17,0,0,1001,0,0,0,0,0,1841,70,248,0
SAMPLE_2,100,0,0,0,1035,0,0,323,269,0,47,0,0,0,0,1069,43,0,69,210,0,0,0,0,0,810,0,2038,0,0,3323,0,16,2271,5,0,0,0,0,17,0,0,0,2878,5,354,1181,48,0,1529,449,2572,0,0,0,81,0,0,0,0,0,0,0,959,0,0,32,6,2923,0,0,18,0,1665,0,1450,1195,0,0,3063,0,1145,872,1586,0,1817,0,30,0,0,0,239,0,61,0,621,0,2,451,0
SAMPLE_3,3327,0,0,0,0,4017,0,163,0,0,9,0,0,18,0,306,0,3667,1383,746,345,0,439,0,146,0,0,0,0,0,0,0,88,0,58,114,123,0,0,0,604,0,0,0,0,420,611,6499,4907,2572,20,263,0,309,202,32,0,258,1665,0,209,0,0,561,0,0,0,0,0,0,736,161,128,0,0,0,22,47,0,5049,0,309,171,0,0,3449,0,1988,504,0,2714,0,0,2331,0,0,0,27,2231,0
SAMPLE_4,96,0,105,0,2524,0,32,1835,1325,0,0,219,30,2308,0,0,0,307,0,3591,0,0,0,1513,45,0,0,0,0,0,0,0,0,829,9,1121,0,0,0,0,0,0,2622,2675,0,23,58,3232,0,0,104,1358,6,1593,663,2141,39,0,0,0,0,973,68,669,1663,157,0,0,4917,1729,66,0,393,0,0,5758,0,22,0,159,3,1952,231,1397,0,1160,0,0,0,590,1213,39,0,0,1523,721,0,7,12,33
SAMPLE_5,1207,260,0,55,0,0,0,24,0,0,0,16,87,71,0,1077,0,0,0,0,1297,0,0,1229,0,58,0,0,0,964,0,0,0,0,0,2333,197,0,0,0,14,199,0,1938,0,0,0,0,3701,0,0,6058,0,3520,0,0,0,0,0,13,69,0,2086,31,0,21,0,0,104,0,1,702,856,0,1,226,0,55,861,7,1469,1194,0,2930,0,1466,0,0,0,0,75,26,0,0,0,0,2179,107,7,0
SAMPLE_6,462,146,0,0,2253,0,1397,515,0,570,0,0,0,0,0,2680,0,0,0,1304,0,0,0,0,0,40,0,0,0,28,0,0,0,1518,795,0,0,1448,0,0,55,0,0,0,12,4,0,659,0,2155,1,0,0,1073,35,3021,0,0,0,607,0,8,0,0,0,0,227,0,310,0,0,2119,547,0,0,2049,0,42,95,0,0,4265,0,3267,0,218,0,567,0,0,63,52,0,0,0,0,0,0,641,0
SAMPLE_7,10,54,2,0,658,0,36,983,0,0,3075,0,0,4,0,3965,1041,2248,0,358,0,0,0,1066,0,0,2245,0,0,61,2080,0,1304,1854,31,3545,2632,0,0,0,0,0,0,2271,0,62,0,0,0,0,358,1176,0,0,486,4369,0,0,0,0,0,19,0,0,0,835,0,0,1661,4344,0,26,0,0,0,2697,0,0,0,382,1928,5588,1759,5348,0,2709,0,1028,0,4,0,1614,0,1817,0,0,0,18,1872,0
SAMPLE_8,0,952,0,0,0,29,0,274,738,0,0,0,0,182,0,1207,0,0,0,1077,0,0,0,1480,245,893,0,2785,102,1242,0,0,858,298,182,1875,13,333,668,0,565,9,0,2162,0,33,0,4652,0,2617,549,2340,0,0,1410,0,0,0,1625,52,0,0,270,0,0,0,0,0,1942,0,0,1886,25,0,0,1092,665,0,0,353,0,1306,0,1082,0,638,1291,793,0,0,37,1366,0,1081,0,400,0,196,594,0
SAMPLE_9,34,950,0,0,1242,0,107,64,569,0,2551,0,0,0,0,0,0,2169,24,3798,94,0,85,56,18,0,0,0,0,373,545,364,2566,170,155,0,0,291,0,0,0,26,1559,0,0,0,0,157,4821,0,0,1640,0,0,747,4494,0,0,0,0,0,7,0,0,0,579,0,0,2312,0,0,2739,140,0,0,0,0,9,0,0,3,240,0,123,0,1483,0,1533,0,0,859,1887,0,2732,0,0,0,91,1698,562
SAMPLE_10,0,0,15,0,1439,0,0,1177,0,1292,1798,50,242,0,0,5901,0,0,24,888,12,0,417,1860,0,0,443,0,0,0,0,0,1554,0,1085,2188,0,0,0,0,147,0,0,1996,0,18,0,0,0,0,2327,924,0,118,414,6163,0,0,0,0,0,0,42,0,606,0,20,71,0,0,0,1018,105,0,0,1214,0,0,0,197,25,5985,0,8430,0,0,29,510,0,0,318,6,0,0,4832,0,0,0,49,0
SAMPLE_11,1571,176,0,0,359,0,23,216,808,518,0,22,0,195,0,0,0,2184,148,898,0,0,0,0,250,0,0,3131,0,27,0,0,0,0,8,0,0,0,0,0,0,140,0,360,0,21,0,5648,3117,0,0,327,0,0,1743,1681,25,0,0,0,0,28,137,36,0,20,667,0,0,0,51,0,588,0,0,1966,0,190,0,165,0,1685,140,827,0,1364,542,199,0,0,494,0,0,0,0,0,0,164,770,0
SAMPLE_12,0,2042,12,0,0,0,0,629,439,0,1698,0,89,203,0,3871,0,0,23,3912,0,0,0,0,0,71,0,608,0,17,0,0,1903,675,24,0,0,0,17,0,508,610,484,98,0,0,0,6658,58,0,731,1475,0,0,0,1546,0,0,1263,155,0,41,0,0,1568,895,0,245,791,0,0,435,23,0,0,110,0,166,0,0,1665,2734,348,5609,0,175,0,121,0,2,775,24,0,0,0,0,0,337,0,32
