,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120
SAMPLE_1,0,0,174,0,1288,977,0,69,411,0,115,0,0,22,95,232,0,0,0,0,29,23,0,0,0,0,505,1353,0,0,459,199,0,0,0,779,0,390,2293,0,0,1421,0,131,0,54,0,268,6043,0,3903,6872,491,0,0,0,0,0,0,0,0,3418,0,0,0,144,386,0,0,171,0,0,47,102,0,1510,0,3513,0,573,436,0,0,0,24,2339,3,915,0,0,613,0,8783,1027,341,1401,0,0,1868,0,934,0,1810,0,77,0,0,0,0,0,582,0,657,0,0,3092,2650,0,0,0
SAMPLE_2,189,0,0,0,1539,0,788,31,0,1387,19,0,117,331,0,1870,25,611,0,509,622,3315,0,0,0,0,27,3107,0,2,0,421,0,0,1119,0,0,0,3271,0,0,63,23,0,0,0,0,47,0,0,4915,6873,4509,69,0,0,0,0,240,0,0,0,0,0,523,156,0,0,0,1901,305,0,2106,0,815,0,0,0,0,0,0,0,0,2535,0,510,800,90,1023,0,57,52,8121,1228,0,0,0,295,1003,0,0,0,0,155,291,113,0,0,0,758,5092,0,886,3,0,1689,0,0,0,153
SAMPLE_3,1673,0,0,0,42,2883,0,282,1049,0,562,0,0,0,0,251,66,0,0,18,0,0,0,0,0,0,0,202,0,204,0,1384,46,0,0,1179,0,0,2223,0,1340,0,0,828,0,0,1348,650,0,0,926,172,2885,690,0,2,0,3890,10,1773,0,0,0,0,120,0,79,0,1237,1461,732,54,501,110,28,2608,0,0,532,2254,0,0,0,267,150,0,0,297,0,0,1710,0,1248,1021,2063,0,0,0,0,0,0,399,0,2288,0,40,0,641,0,207,348,1558,1359,0,0,0,389,2641,0,50
SAMPLE_4,1300,0,0,0,1732,0,0,119,0,0,758,0,288,1704,0,592,0,0,0,0,0,1475,1150,301,2851,0,1157,1084,0,1128,0,0,0,0,1435,351,0,0,1223,0,0,0,0,0,0,1769,647,62,0,0,5965,7124,0,0,0,0,2533,0,0,0,0,1229,1439,0,0,0,482,678,44,66,40,0,1718,200,0,4214,0,2199,104,0,1760,0,17,0,0,2278,345,3726,53,0,0,0,7955,38,2710,1440,3864,0,328,0,193,0,0,0,261,346,0,0,0,0,0,766,1248,587,0,0,0,0,0,5
SAMPLE_5,2966,0,0,0,319,0,0,241,1895,22,0,3264,0,3,0,0,0,0,0,411,0,1617,1308,0,0,0,358,15,1127,97,6660,0,0,0,15,636,5106,0,0,0,359,0,0,920,0,1609,1406,83,2416,0,0,9962,3040,690,0,0,0,0,0,0,0,1197,3,616,470,369,249,249,0,60,117,0,1674,0,102,717,0,0,0,0,0,0,0,0,278,0,385,407,40,0,3103,0,2523,2398,0,0,2677,0,0,0,172,0,2000,0,888,0,0,804,0,0,15903,0,0,547,740,0,286,2126,0,2469
SAMPLE_6,774,0,0,0,15,1263,1490,0,0,670,0,0,814,45,63,166,0,0,0,0,0,1846,247,0,0,0,541,60,0,773,0,0,0,0,0,234,1276,0,665,193,0,0,64,0,151,0,0,22,2408,0,962,2450,0,195,0,17,0,74,525,0,19,0,122,359,0,525,268,34,0,0,0,1705,1295,0,0,0,0,67,194,22,0,0,69,0,0,41,1335,1692,0,0,1041,0,1128,1206,0,0,0,0,1376,0,0,0,1990,0,2,0,0,0,0,0,3172,415,0,830,0,409,104,0,0,3417
SAMPLE_7,0,0,0,0,50,1479,460,583,0,0,0,0,593,0,0,0,23,0,0,0,0,1599,56,0,0,0,87,152,0,299,0,443,0,2092,0,0,0,0,874,0,0,0,282,635,0,481,3122,473,0,0,2778,5715,0,335,0,0,0,0,935,130,0,0,0,0,0,35,99,0,0,1814,59,433,1616,0,662,617,0,0,228,395,0,0,32,1228,1099,0,397,219,1428,0,0,0,3584,0,0,29,0,0,288,0,0,0,0,1104,4,51,11,0,0,0,7813,2012,0,0,1107,1376,828,1205,0,0
SAMPLE_8,0,0,0,0,227,733,0,25,83,1414,944,0,0,0,0,1749,1975,0,0,60,0,1005,1261,0,0,0,0,404,0,128,0,248,400,0,0,0,0,1,2793,0,986,0,0,0,0,0,95,568,2215,0,2273,2743,1457,319,0,161,214,0,0,31,4021,1316,0,921,173,137,305,432,0,49,175,1034,597,24,0,890,0,0,27,131,209,0,631,3417,0,0,1263,196,0,64,86,0,2135,0,0,0,0,0,994,0,0,0,109,0,11,174,0,0,0,0,1603,0,1851,0,3014,2816,0,0,0,0
SAMPLE_9,0,0,0,0,47,496,430,363,0,1359,312,0,0,285,0,0,1629,0,0,15,493,544,0,141,1298,0,0,95,0,0,0,0,0,0,0,64,0,17,0,0,77,0,0,1001,0,0,1976,0,718,0,2630,3268,0,0,2639,0,0,2338,452,1255,0,0,0,0,94,401,156,458,0,1604,411,98,397,0,0,485,0,0,181,137,0,0,0,0,173,0,0,715,1694,16,0,0,4727,0,791,0,0,0,0,0,17,0,254,663,547,0,0,45,0,1769,4269,0,0,0,1580,533,0,0,0,2976
SAMPLE_10,0,0,0,0,37,57,789,0,0,0,0,0,0,14,0,306,1349,0,0,15,12,484,0,0,0,0,134,0,0,1093,0,559,112,0,0,501,0,0,0,0,11,0,7,0,0,0,0,649,0,0,2998,4875,929,277,0,0,3,0,175,0,0,0,0,0,163,463,236,0,0,1034,0,0,614,0,1752,0,0,0,16,35,60,0,0,898,0,0,195,472,2130,0,0,0,3648,576,0,0,1367,0,1124,0,77,0,0,0,8,57,0,0,0,0,4839,78,369,0,0,276,838,774,96,0
SAMPLE_11,61,0,0,0,502,1,0,1484,1459,110,0,2998,0,0,80,778,2382,13,0,69,0,83,0,0,0,0,472,31,0,2,3464,0,0,0,0,0,0,0,856,0,0,0,1110,0,0,0,1846,155,3161,0,3463,4543,1491,475,0,0,23,0,325,0,0,588,0,0,628,409,81,0,0,0,30,2665,2221,1,0,2542,0,0,97,0,686,0,1128,2274,14,164,945,1484,1423,0,3847,0,4280,249,0,0,0,0,0,0,0,955,0,0,1298,96,0,698,0,0,2867,712,0,0,0,0,305,0,0,1844
SAMPLE_12,53,0,0,368,137,569,0,190,0,0,0,0,0,1062,154,0,0,821,0,28,0,1073,0,1112,0,0,0,257,0,65,7010,0,0,0,0,860,5211,689,0,0,239,250,0,1684,167,0,753,2,0,0,0,950,384,0,5059,0,110,0,0,148,0,2253,0,867,306,170,189,0,0,382,1188,207,1167,140,0,3969,0,338,3,227,2098,0,0,0,0,0,0,1286,989,0,0,0,3032,8356,0,0,49,0,649,0,0,0,0,0,19,0,65,978,0,47,981,1500,247,0,73,280,2341,0,0,0
SAMPLE_13,0,0,0,0,0,338,0,22,0,0,0,545,996,1483,392,803,0,0,0,0,518,2092,430,0,0,0,1737,2841,0,25,0,1899,0,0,0,480,0,0,258,0,690,1269,156,0,0,2302,56,18,0,0,3205,1260,2339,257,0,44,238,0,426,901,0,318,29,736,0,461,3,195,0,0,36,669,3823,10,0,26,0,0,165,1490,29,0,0,1890,0,2412,509,1578,385,0,1619,0,4235,0,0,9,4471,0,564,54,285,552,0,0,0,0,0,11,0,0,0,51,0,314,0,0,152,0,0,3018
SAMPLE_14,0,0,0,57,1291,2417,378,0,6,0,0,0,1431,1023,0,1048,0,0,0,0,0,951,928,0,0,0,3965,2191,0,12,0,0,58,0,0,7,202,0,0,241,0,4702,0,0,0,26,0,0,0,41,1075,2714,1512,69,0,118,0,0,185,0,41,0,0,0,0,1028,0,0,0,1659,0,2231,3572,10,0,1659,0,0,242,901,1374,0,29,2167,1616,3896,688,5561,91,0,18,42,1152,0,0,0,0,0,3934,0,0,0,0,0,0,129,0,0,0,0,3663,0,0,0,0,2975,42,375,53,912
SAMPLE_15,0,0,0,0,496,0,0,227,0,0,879,0,500,21,0,0,2255,0,0,22,48,66,0,0,26,0,0,3,0,0,0,0,0,0,0,2638,0,0,2717,0,0,253,0,0,0,1280,1097,61,1884,0,3622,3280,4410,410,0,0,0,0,0,0,0,404,0,618,261,432,17,0,0,125,0,410,1085,0,0,463,0,0,26,0,0,1364,0,0,2,0,239,2989,38,89,0,0,4778,4332,2581,1497,1785,2606,1025,0,393,0,965,197,544,0,0,0,1674,0,4055,1759,71,0,0,0,2795,170,0,0
SAMPLE_16,0,0,0,0,52,557,0,438,0,0,0,0,0,0,0,1457,0,0,0,0,0,0,441,0,28,0,904,21,0,0,1967,767,111,0,0,1106,1735,1,0,216,163,586,0,0,0,84,689,0,0,0,1170,3197,2552,295,0,288,0,0,319,619,0,0,0,36,0,549,12,0,0,0,0,1768,571,25,0,1510,0,0,0,689,0,0,0,2961,1,1366,194,853,451,0,0,0,5237,0,0,960,0,0,1039,0,0,0,695,0,0,144,0,0,0,0,5287,1983,0,303,0,2138,854,0,0,905
SAMPLE_17,0,0,0,0,451,554,0,0,1764,691,0,0,0,0,0,0,144,0,0,24,0,195,0,22,0,0,0,35,1851,162,38,0,196,0,0,81,0,0,1029,49,22,0,0,0,0,503,1502,0,30,0,0,554,0,97,0,0,0,0,188,0,0,0,35,432,150,295,296,0,0,1525,774,153,544,0,920,3488,0,178,0,1391,1059,0,9,5509,971,0,72,1264,1546,0,2609,0,258,1554,0,0,1130,0,328,0,80,0,0,22,0,242,0,1083,0,0,0,976,207,0,0,2076,31,608,222,996
SAMPLE_18,0,0,0,0,1177,1433,0,4,29,0,0,0,0,103,0,0,1817,0,0,0,0,1809,1286,0,25,0,502,701,0,0,1151,9,40,0,64,947,2102,0,3207,0,51,0,1338,252,0,0,12,0,515,18,1591,2330,0,455,3233,0,0,0,293,0,0,2251,466,1020,0,459,322,735,0,0,657,0,0,362,0,894,0,0,0,0,0,0,0,0,2531,1453,690,1770,0,0,47,14,0,2115,0,0,2249,0,1590,0,0,0,53,0,0,465,80,0,0,0,953,0,8,616,0,3544,306,0,85,1912
SAMPLE_19,0,0,0,752,334,0,0,22,0,316,0,698,0,1424,0,1094,0,0,0,0,0,1768,0,21,0,0,249,880,0,0,1483,573,308,0,0,1516,0,0,0,289,0,0,35,218,0,0,111,65,40,0,115,257,1522,0,552,0,0,2875,287,1642,0,0,0,0,0,13,0,0,0,1119,235,322,1141,0,0,1172,0,0,0,0,380,0,0,4159,0,3337,1276,103,2946,0,418,0,0,1519,0,0,0,0,1592,0,0,17,0,0,0,449,0,0,0,0,84,138,370,0,0,2257,2345,0,0,0
SAMPLE_20,752,0,0,0,674,2771,53,887,3487,0,0,0,0,116,0,930,48,0,0,62,0,686,0,0,0,0,0,0,0,1091,0,638,0,0,0,504,0,0,0,0,0,0,498,618,0,0,3656,848,99,0,857,700,1902,269,1143,0,0,0,1733,0,0,0,0,34,385,780,351,10,0,420,789,250,1451,505,0,2952,0,0,0,1833,1640,0,0,1321,392,0,1139,2809,0,550,5600,0,1505,0,0,1748,0,0,0,0,525,0,67,0,0,127,0,667,0,0,0,3688,0,0,0,0,341,0,0,4412
