,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120,TAXA_121,TAXA_122,TAXA_123,TAXA_124,TAXA_125,TAXA_126,TAXA_127,TAXA_128,TAXA_129,TAXA_130,TAXA_131,TAXA_132,TAXA_133,TAXA_134,TAXA_135,TAXA_136,TAXA_137,TAXA_138,TAXA_139,TAXA_140,TAXA_141,TAXA_142,TAXA_143,TAXA_144,TAXA_145,TAXA_146,TAXA_147,TAXA_148,TAXA_149,TAXA_150
SAMPLE_1,0,0,0,969,1230,0,781,0,968,419,0,490,0,3794,2532,2471,0,704,598,145,0,130,138,2,2879,1804,860,165,0,832,269,237,0,0,0,0,452,0,616,0,2720,138,0,0,1363,0,0,56,0,0,323,364,0,0,43,0,801,327,555,0,0,1768,641,484,0,4418,1590,0,5015,0,1580,0,0,1778,480,2656,2031,32,259,97,1879,1183,0,0,999,996,647,0,0,55,0,434,262,0,1472,0,843,0,1646,0,0,0,0,98,0,0,0,268,0,0,31,0,2310,0,1808,204,1679,1068,0,339,0,0,0,0,213,0,0,467,0,0,100,1072,0,0,3995,0,0,1624,0,0,0,0,468,905,0,0,0,643,2593,0
SAMPLE_2,0,0,0,0,3673,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,2028,1517,837,0,666,1636,1049,2208,367,366,2176,239,389,0,372,426,2944,0,3345,866,763,0,0,784,619,0,420,661,467,2566,0,0,982,270,0,0,1023,3412,5949,0,1859,2974,0,4439,492,2850,0,567,0,761,0,0,0,0,2165,0,696,144,4639,524,1141,1908,1523,1033,1147,106,0,715,6195,3615,2419,0,1059,0,412,0,2324,1452,858,1656,434,836,2006,885,188,620,570,2322,1666,2225,1409,963,446,0,4553,0,1138,826,2097,4541,0,0,0,0,1915,4692,4076,592,764,0,1218,370,239,1098,1114,0,0,284,0,0
SAMPLE_3,0,0,0,0,4458,0,0,72,253,0,0,0,1155,342,0,124,0,0,0,0,0,0,0,0,0,4507,0,0,0,0,0,719,0,0,0,0,1419,675,1617,229,999,435,553,0,478,0,2265,75,267,1399,0,40,114,0,1710,823,103,0,1358,0,847,3027,0,1099,0,0,5323,1025,2778,1101,1813,1089,1822,1837,1313,0,1846,0,901,498,0,4681,388,810,2284,0,1738,910,0,1559,0,2096,3984,0,3665,0,913,2191,0,0,2089,0,1807,0,120,0,1050,0,2036,0,170,1369,1363,1343,430,321,184,1199,3708,693,1655,1612,262,0,1541,277,238,285,370,438,0,372,361,0,0,4166,0,0,0,0,0,0,0,3351,1022,0,0,461,191,0
SAMPLE_4,0,155,0,495,4581,0,111,458,0,0,0,3403,6089,2319,0,304,0,0,456,158,0,0,345,45,6158,0,1521,0,2028,0,0,0,2999,0,1146,344,334,2417,1156,0,1844,133,1094,1158,324,1656,2420,103,0,1710,1397,2408,669,0,3148,887,0,2841,1250,0,0,922,371,197,2042,3036,2265,1286,983,1231,3675,0,2543,5109,117,0,0,1223,0,0,393,1496,0,411,1161,0,1791,993,4741,2051,3567,2368,5105,0,4294,0,306,0,0,0,3648,0,0,0,0,0,2503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,2753,2089,2805,256,0,0,776,223,780,0,340,0,0,803,561
SAMPLE_5,0,0,1825,233,1815,110,533,312,985,61,0,498,1097,0,0,256,68,0,142,69,0,0,0,53,1620,672,0,709,597,1502,3459,0,0,92,0,0,19,99,26,213,0,0,317,0,0,50,0,0,300,0,0,869,165,883,1144,350,918,650,274,0,0,0,0,486,0,0,838,1112,4294,474,1600,0,1164,316,742,0,679,0,0,1446,75,1769,20,135,3307,4458,757,347,893,179,3653,1298,0,160,0,1146,1014,427,0,0,0,46,4800,0,0,0,1618,0,203,3893,468,1173,0,0,0,2079,756,433,0,416,1052,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,0,0,431,716,0,0,0,0,1423,0,0
SAMPLE_6,0,4931,156,895,0,0,153,359,0,0,4119,0,2654,0,0,1672,0,0,41,80,75,0,580,2164,1564,3402,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,332,0,0,18,0,0,819,1080,0,2023,965,4185,288,0,0,674,442,663,1088,406,0,0,0,2520,92,2228,2340,0,1453,0,0,2554,0,525,3166,4170,1236,913,1035,0,0,1313,3538,1192,1792,0,0,359,4288,1239,3777,0,3886,121,661,0,10,2883,0,0,0,3262,1090,0,0,0,3523,2304,1082,2335,2316,1582,2792,317,749,1104,0,551,984,3818,759,1327,148,1394,0,0,0,779,0,37,0,0,8,749,0,0,0,0,0,4201
SAMPLE_7,0,0,0,690,693,258,0,0,3273,269,0,815,722,0,408,0,0,10191,0,104,9,331,0,364,3073,274,611,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,118,0,241,3101,841,0,1428,0,944,3160,690,1103,0,25,0,0,0,0,0,0,585,2,56,959,1197,0,506,54,248,993,510,13,2855,0,317,0,2208,693,0,4061,81,230,105,0,0,0,0,466,59,399,1177,671,1314,111,222,728,486,574,398,1012,0,2330,0,904,1613,783,573,1174,1206,485,1053,374,665,0,5141,1114,0,2151,0,178,449,0,656,2437,2277,4484,383,0,0
SAMPLE_8,849,0,1351,481,3469,0,2129,160,2291,138,616,0,0,0,0,503,0,0,872,0,634,169,0,480,691,0,0,2361,518,0,2605,0,1723,355,0,2170,734,144,464,494,4607,0,0,0,0,491,0,2012,695,0,792,0,0,793,1082,0,241,0,802,0,2449,0,452,292,0,0,1887,549,1011,2419,449,1310,764,2949,877,2345,3285,928,189,814,3221,0,99,0,0,4656,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,849,1544,2119,434,1352,0,1560,2853,0,1650,2354,0,477,1575,3193,1244,784,1655,0,0,1098,0,106,20,0,0,0,0,0,0,0,0,0,2403,3828,1210,0,0,0,1209,2907,2131,4113,784,178,0
SAMPLE_9,9,0,2345,0,0,0,0,47,481,0,0,0,193,0,0,0,277,0,0,0,0,0,0,0,0,0,0,75,0,0,500,0,0,0,0,0,69,0,0,0,2120,0,556,0,0,143,0,1932,499,0,1103,0,0,0,2884,565,0,435,1214,0,1863,1153,0,0,0,0,0,3319,1388,373,0,0,1103,3607,130,0,0,0,1281,0,0,2050,799,861,4799,15434,116,474,2059,0,0,1672,0,0,1855,916,3824,4809,0,0,0,245,0,500,0,289,0,17,0,0,49,818,0,819,773,86,404,3710,1724,1039,1783,3881,0,235,1515,308,0,0,1208,620,1862,565,0,0,811,431,1045,1893,1704,135,0,0,0,2341,0,2616,0,2023,0,0
SAMPLE_10,0,706,0,0,0,0,0,0,1218,0,1185,626,0,5970,0,0,1987,0,650,201,25,0,1143,829,5197,2808,1117,1224,0,1136,589,0,4025,0,0,0,224,556,1111,0,0,29,0,1409,418,7,0,203,0,0,0,0,0,1543,66,0,0,0,0,0,1019,1026,1974,0,0,0,650,0,0,1616,0,0,0,1841,77,227,0,0,0,0,0,171,738,0,0,0,111,188,3155,808,3568,1928,869,827,919,705,288,2428,799,3837,928,393,0,1436,160,481,4120,592,396,0,0,1054,0,0,0,0,567,3226,2113,3110,0,0,0,0,455,0,0,0,1254,0,0,0,0,0,3894,0,5241,1001,3492,1033,0,0,0,3236,1523,7563,0,579,0,3852
