,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100
SAMPLE_1,3573,0,0,172,336,150,0,3020,2388,289,0,923,2762,0,20,45,0,0,0,0,2091,2506,0,1575,0,1187,2055,0,119,0,1018,1502,892,150,28,899,0,0,0,129,776,0,547,0,1592,585,641,608,42,0,0,0,0,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,7513,0,0,175,1570,704,0,0,317,189,0,2522,1787,192,0,0,0,0,0,0,0,0
SAMPLE_2,0,639,74,261,1029,1266,0,0,76,59,0,325,670,86,1137,2041,220,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,1939,841,1277,0,71,0,31,0,0,0,0,1580,0,1111,3603,0,1923,0,827,747,0,36,0,0,331,0,1195,1124,0,785,752,444,0,927,50,19,8,0,0,31,0,0,489,2336,359,0,179,0,194,0,153,0,16,0,377,1976,285,691,574,0,1356
SAMPLE_3,0,973,344,704,1219,0,412,0,0,1801,0,1,0,187,172,409,31,68,2843,2677,918,1191,0,845,48,682,0,202,0,178,709,257,0,0,0,0,0,0,0,0,0,168,3706,2795,1755,1585,243,0,0,217,2022,922,0,2291,0,267,358,394,583,0,0,353,0,0,0,111,0,0,0,0,0,0,0,0,0,0,191,382,3614,69,0,1279,3210,660,0,0,0,56,0,0,0,507,0,0,1164,775,4880,2962,4638,1620
SAMPLE_4,0,2720,1098,513,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,76,213,0,253,749,0,1985,466,3820,2975,2366,0,1010,1177,4631,5397,70,1008,332,4541,0,1165,0,59,0,1407,3555,1257,0,2008,0,745,33,0,0,403,0,457,0,254,0,0,0,673,0,0,1275,1810,1784,733,1666,0,0,0,629,94,816,100,0,5446,0,1961,0,0,0,428,0,365,88,1616,1711,2835,4152,1225
SAMPLE_5,0,4561,876,0,881,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,1068,2443,743,380,1871,351,4059,4492,3426,1904,109,0,169,0,0,156,215,717,2613,0,0,44,433,0,1320,0,1039,0,2678,3152,0,0,0,0,44,473,0,0,210,0,676,0,0,0,0,0,40,27,0,2180,0,2211,0,264,0,585,0,0,5098,0,1158,127,0,0,32,0,327,0,14,0,0,46,2050,5798,3585,8019,1265
SAMPLE_6,0,879,10,71,171,60,66,0,0,0,0,0,1966,0,47,36,0,17,0,1225,759,158,0,0,0,0,0,1003,0,0,0,0,272,80,459,629,69,0,0,133,610,603,1399,329,545,283,25,43,0,0,2886,0,0,254,0,0,0,0,52,0,0,0,0,237,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,269,0,1630,0,0,1778,0,1302,117,0,0,4,0,576,1487,0,652,382,712,639
SAMPLE_7,0,976,0,1209,2300,1935,0,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513,3826,1286,1036,246,573,2619,1867,2327,222,3612,0,140,0,2454,3943,2759,1581,563,0,1427,394,0,32,0,2982,0,4079,478,2064,0,1767,159,793,383,0,0,933,0,1155,0,0,0,0,0,0,0,0,8968,0,1896,0,452,785,0,427,214,167,0,416,0,3884,0,3200,0,0,0,7,0,578,1454,0,381,10,0,0
SAMPLE_8,0,417,326,28,526,24,45,0,1078,0,0,2811,3413,0,505,1070,620,945,0,534,0,978,0,1072,979,0,975,0,107,0,0,0,29,4,87,5,0,0,2281,1150,1502,535,709,346,2094,3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2808,0,0,0,0,0,0,2974,38,1777,0,420,3322,2557,0,0,0,3360,716,231,0,556,262,0,0,0,35,0,0,0,0,0,26,0,134
SAMPLE_9,0,3591,44,0,300,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,60,9,0,4,0,826,71,0,185,0,0,268,386,1292,646,851,2039,302,1413,0,0,0,292,0,249,0,358,8,42,0,2243,0,0,0,641,0,214,0,835,355,239,4873,27,0,0,580,1525,614,391,0,0,200,34,107,0,0,0,0,3107,0,1024,0,0,0,0,126,0,485,89,268,251,120,1403
SAMPLE_10,296,102,48,213,515,615,0,1796,0,80,0,0,0,0,0,0,0,1293,197,2415,805,415,0,1147,1819,671,24,0,0,611,4013,1662,2186,392,448,544,109,0,0,50,321,365,903,0,3963,995,213,91,0,0,0,0,0,0,0,0,0,0,0,0,1904,0,0,0,5,0,0,187,0,0,0,0,2,6183,2404,1519,0,0,459,12,0,0,70,0,44,0,0,1311,545,689,1060,0,0,0,0,0,0,30,0,47
